ministry,website,division,name,designation,room,phones,email,source_url
Panchayati Raj (MoPR),https://panchayat.gov.in,Assistant Section Officers,Ms. Aasha Devi,Assistant Section Officer,,,aasha.muskan@gov.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Assistant Section Officers,Shri Harsh Kumar Jha,Assistant Section Officer,,,harshkumar.jha12@gov.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Assistant Section Officers,Ms. Preeti Agrawal,Assistant Section Officer,,,Agarwal.preeti@gov.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Assistant Section Officers,Shri Arvind Kumar Patel,Assistant Section Officer,,,patel.arvind@gov.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Assistant Section Officers,Shri Abhishek Rajbhar,Assistant Section Officer,,,a.rajbhar@gov.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Dr. Mohd.Tauqueer Khan,National Project Coordinator,,23725309(O),tauqueer.khan@gov.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Aditya Vikram Singh,Consultant,,23725308(O),av.singh@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Ms. Piyali Roy,Consultant,,23725309(O),piyali.roy@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Ms. Shalini Sharan,Consultant,,23725309(O),sharan.shalini@govcontractor.nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Ms. Raunak Ahmad,Consultant,,23725309(O),raunak.ahmad@govcontractor.nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Prasanta Konar,Consultant,,23725309(O),prasanta.konar@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Mayank Kharbanda,Consultant,,,mayank.kharbanda@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Subodh G,Consultant,,,subodh.gurjar@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri G. Counassegarane,Consultant,,,couna.g@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Ms. Karnika Kaushik,Consultant (GIS),,23753822(O),karnika.kaushik@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Manoj Sharma,Consultant,,,manoj.sharma12@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Ms. Chandrani Saha,Consultant,,,chandrani.saha@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Anjani Kumar Tiwari,Consultant,,23725308(O) 9891438539,ak.tiwari12@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Manjul Mayank Pandey,Consultant(Legal),,,,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri R K Chopra,Consultant,,,,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Dr Bharat Chandra Rout,Consultant,,,bharat.rout@govcontractor.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Kamal Vashisht,Consultant,,,kv.kamal@govcontractor.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Charan Singh Yadav,Consultant,,,csyadav.12@govcontractor.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Ms Priyanka Dutta,Consultant,,23352592(O),priyanka.mopr@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Satyendra Jha,Consultant,,23352592(O),satyendra.mopr@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Dr Abhishek Singh,Consultant,,,abhishek.singh23@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Devendra Singh,Consultant,,,Dev.singh64@govcontractor.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Divyanshu,Consultant,,,cons-dev@govcontractor.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Smt Pooja Sharma,Consultant,,,pooja.sharma80@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Mohit Gupta,Consultant,,,mohit.gupta20@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Prerit Sarswat,Consultant,,,prerit.s@govcontractor.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Seepna Mohit Rao,Consultant,,,mohit.rao@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Manoj Kumar,Consultant (GIS),,,cons-governance@govcontractor.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Abhas Vyas,Consultant,,,abhas.vyas@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Sushant Sudhir,Consultant,,,sushant.sudhir@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Shivam Ranjan,Consultant,,,shivam.ranjan@govcontractor.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,Consultants/Research Associate,Shri Shubham Saini,Consultant,,,cons-svamitva@govcontractor.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,NIC Cell (MoPR),Shri Ajay Madhukar Joshi,"Deputy Director General , HOG",,,amjoshi@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,NIC Cell (MoPR),Ms Sunita Jain,"Sr. Director (IT), HOD",,,jain.sunita@nic.in,https://panchayat.gov.in/who-is-who-2/
Panchayati Raj (MoPR),https://panchayat.gov.in,NIC Cell (MoPR),Note: K.B – Krishi Bhawan J.P.B – Jeevan Prakash Building J.B.B – Jeevan Bharati Building,,,,,https://panchayat.gov.in/who-is-who-2/
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,UNION MINISTER AND HIS OFFICE,Sh. Sarbananda Sonowal,"Hon’ble Minister of Ports,Shipping and Waterways",201,"23717422, 23717423, 23717424, 23356709 fax",minister-shipping@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,UNION MINISTER AND HIS OFFICE,Sh. Amit Kumar,"PS to Hon’ble Minister of Ports,Shipping and Waterways",201,"23717422, 23717423, 23717424, 23356709 fax",ps-shipping@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,UNION MINISTER AND HIS OFFICE,Sh. P. Dinesh,Additional PS,224/5201,"23717422, 23717423, 23717424, 23356709 fax",menon.p@nic.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,UNION MINISTER AND HIS OFFICE,Sh. Kuldip Gayan,Additional PS,5201,"23717422, 23717423, 23717424, 23356709 fax",kuldeep.gayan@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,UNION MINISTER AND HIS OFFICE,Sh. Tuhin Hazarika,Asst. PS,205,"23717422, 23717423, 23717424, 23356709 fax",tuhin.hazarika@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,UNION MINISTER AND HIS OFFICE,Sh. Mukul Ch Lahkar,Asst. PS,205,"23717422, 23717423, 23717424, 23356709 fax",mukul.lahkar@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,UNION MINISTER AND HIS OFFICE,Sh. Prem Kumar,PPS,207,"23717422, 23717423, 23717424, 23356709 fax",,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,MINISTER OF STATE AND HIS OFFICE-,Sh. Shantanu Thakur,"Hon’ble Minister of State of Ports,Shipping and Waterways",215,"23710189,23710356","shantanu.thakur20@sansad.nic.in, officeofmos-psw@gov.in",https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,MINISTER OF STATE AND HIS OFFICE-,Sh. Chandra Mohan Singh,PS to Hon’ble Minister of State,216,23710189/356,pstomos-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,MINISTER OF STATE AND HIS OFFICE-,Sh. Subhash Chandra Das,Additional PS,208,"23710189, 23710356",subhash.chandra94@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,MINISTER OF STATE AND HIS OFFICE-,Sh. Anurag Bhabhra,Asst. PS,428/5203,"23710189, 23710356",anurag.bhabhra@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,MINISTER OF STATE AND HIS OFFICE-,Sh.Pramod Kohli,PPS,211/5203,"23710189, 23710356",,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SECRETARY AND HIS OFFICE,Sh. Vijay Kumar,Secretary,"401/5402, 5403","23714938, 23716656",secyship@nic.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SECRETARY AND HIS OFFICE,Mrs. Vibha Atri,Sr. PPS,402/5402,,,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SECRETARY AND HIS OFFICE,Sh. Sanjay Kumar,PPS,402/5402,,sanjay.kalonia@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SECRETARY AND HIS OFFICE,Sh. Deepak Kalonia,SO,402/5402,,kalonia.deepak@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,AS & FA AND HIS OFFICE,Sh. Puneet Agarwal,AS & FA,516/5101/5102,"23736455,23721235",asfa-ship@nic.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,AS & FA AND HIS OFFICE,Sh. Sanjay Kumar,PPS,518/5102,"23736455,23721235",,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,AS & FA AND HIS OFFICE,Sh. Arpit Rukhaya,PA,518/5102,"23736455,23721235",,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,ADDITIONAL SECRETARY AND HIS OFFICE,Sh. Mukesh Mangal,Additional Secretary,403/5408,23711499 / 23733051,as.psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,ADDITIONAL SECRETARY AND HIS OFFICE,Mr. Amit Kumar,PS,404/5405,23711499 / 23733051,,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,ADDITIONAL SECRETARY AND HIS OFFICE,Mrs. Anju Rani,PA,404/5405,23711499 / 23733051,,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SR. ECO. ADVISER AND HIS OFFICE,Ms. Preeti Nath,"Senior Economic Adviser (ALHW, Media & Hindi)",410/5409,,sr.ecoadv@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SR. ECO. ADVISER AND HIS OFFICE,Ms. Simran Sharma,PPS,424/5412,,,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,JOINT SECRETARIES,Sh. Praveen P. Nair,"JS (Ports, PPP)",408/5410,,js-ports@nic.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,JOINT SECRETARIES,Sh. C.P. Singhal,PPS,417/5404,,,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,JOINT SECRETARIES,Sh. Sandeep Gupta,"JS (PHRD, Establishment, Coord. & Parl)",441/5628,,jsadmin-psw@gov.in jscord-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,JOINT SECRETARIES,Sh. L.P.Maurya,Sr. PPS,544/5574,,,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,JOINT SECRETARIES,Dr. Kamala Kanta Nath,"Adviser Statistics (IWT-I & II, TRW)",409B/5418,,"adviwt-psw@gov.in,trw-adv@gov.in",https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,JOINT SECRETARIES,Mr. Sanoj Kumar Singh,PPS,412/5452,,,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,JOINT SECRETARIES,Sh. Venkatesapathy S.,"JS (IT, E-Gov, IC, MA & MS, DW && DGLL)",406/5413,,,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,JOINT SECRETARIES,Mrs. Neetu,PPS,405/5454,,,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,ADMINISTRATION DIVISION,Sh. Devendra Kumar,DS,436/5436,,dsphrd-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,ADMINISTRATION DIVISION,Sh. Sumit Nandan,US,439/ 5566,,us.admn-ship@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,ADMINISTRATION DIVISION,Sh. Rajesh Bhatt,SO(Estt.-I),425/ 5425,,so.admn-ship@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,ADMINISTRATION DIVISION,Sh. Bhushan Kanwadiya,SO (Estt.-II),425/5481,,bhushan.kanwadiya@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,ADMINISTRATION DIVISION,Sh. Gaurav Sharma,SO (Gen),434/5434,,so.gen-ship@nic.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,ADMINISTRATION DIVISION,Sh. Kamal Maurya,DDO (Cash),319/5319,,ship-ddocash@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PORTS DIVISION,Sh. Dinesh Kumar,Dir (PD-I & IV),251/5217,,dirports-it.psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PORTS DIVISION,Sh. Samarth Verma,"Dir (PD-II,III)",409C/5417,,samarth.verma1@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PORTS DIVISION,Sh. Isaacs Gerard Baines,US (PD III & IV),435/5435,,usports-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PORTS DIVISION,Sh. P.Hauzel,US ( PD-IV),138-B/5565,,uspd4-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PORTS DIVISION,Sh. Nitin Kumar Nim,SO (PD-III),443/5443,,so-po@nic.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PORTS DIVISION,Sh. Naveen Kumar,US (PD- I & II),547/5546,,uspd-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PORTS DIVISION,Sh. Vinay Singh Prajapati,SO (PD-I),424/5424,,sopd1-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PORTS DIVISION,Mrs. Ruchi Rawat,SO (PD-IV),138A/5507,,sopd4-ship@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PORTS DIVISION,Mrs. Swaran Kaur Bedi,SO (PD-II),424/5460,,pdii-moship@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PORTS DIVISION,Shri Roshan Lal,Consultant,535,,roshan.lal74@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PHRD DIVISION,Sh. Devendra Kumar,DS,436/5436,,dsphrd-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PHRD DIVISION,Sh. Ashish Bhattacharya,US,438/5510,,usphrd-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PHRD DIVISION,Ms Archana Chhikara,SO (Labour),138A/5421,,solabour-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PHRD DIVISION,Sh. Amit kumar,SO(PE-I),423/5423,,sope1@nic.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PHRD DIVISION,Sh. Kuldeep Singh,SO (PE-I),423/5423,,sope1@nic.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PHRD DIVISION,Mrs. Indu,SO(PE-II),537/5477,,sopeii-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SHIPPING DIVISION,Sh. Vipul Singhal,"Dir (MD, SBR, CSL && SU)",433/5433,,dir1-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SHIPPING DIVISION,Sh. D.S. Rawat,PPS,443/5483,,ds.rawat25@nic.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SHIPPING DIVISION,Sh. Opesh Kumar Sharma,"Dir (CS, MT, Media && ESRISE)",525/5614,,dir2-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SHIPPING DIVISION,Sh. Chiranji Lal Meena,"US (CS, MT && ESRISE)",535/ 5437,,uscsit-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SHIPPING DIVISION,Sh. Pranav Mittal,US (SBR & CSL),3rd Floor/ PTI Building,,usshipping2-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SHIPPING DIVISION,Sh. Vivek Pahwa,US (IMO & ML),431/5431,,usml-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SHIPPING DIVISION,Shri Manish Kumar Yadav,US (MA),427/5547,,usma-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SHIPPING DIVISION,Sh. Sanjay Kumar,US (MD & SU) Addl Charge,"3rd Floor, PTI Building",,,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SHIPPING DIVISION,Sh. Prem Kumar,SO (ESRISE),538/5558,,psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SHIPPING DIVISION,Sh. Raman Chamber,So (MD & SU),540/5511,,admd-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SHIPPING DIVISION,Ms. Sugandha Grover,"SO (MT, CS && Media)",535,,somt@nic.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SHIPPING DIVISION,Sh. Ashish Kumar Singh,SO (ML),"3rd Floor, PTI Building",,somg-ship@nic.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SHIPPING DIVISION,Sh. Sandeep,SO (MA),540,,soma2-ship@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SHIPPING DIVISION,Sh. Himanshu Johri,SO,"3rd Floor, PTI Building",,,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,IC DIVISION,Sh. Samarth Verma,Dir,409C/5417,,samarth.verma1@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,IC DIVISION,Sh. Manoj Kumar Singh,US,439/5472,,usic-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,IC DIVISION,Sh. Navneet Kadian,SO,538/5473,,soic-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SAGARMALA/IPRCL/ALHW DIVISION,Sh. Ranjit Kr. Srivastava,"DS (Sagarmala- I & II, ALHW)",532/5532,,dssm2-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SAGARMALA/IPRCL/ALHW DIVISION,Sh. Sanjay Kumar,US (SM-I),3rd floor/PTI Building,,ussm1-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SAGARMALA/IPRCL/ALHW DIVISION,Sh. Rajiv Kumar,US(ALHW && Media),535/5503,,usalhw-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SAGARMALA/IPRCL/ALHW DIVISION,Sh. Harikesh Meena,SO,3rd Floor/ PTI Building,,sagar.mala@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,SAGARMALA/IPRCL/ALHW DIVISION,Mr. Sanjiv Kumar Tiwari,SO (SM-II),3rd Floor/ PTI Building,,sagar.mala@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PPP AND INVESTMENT PROMOTION,Sh. Rajesh Asati,DS,534/5509,,dirppp-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PPP AND INVESTMENT PROMOTION,Sh. Sachin Kumar Katiyar,US,427/5427,,usppp-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,PPP AND INVESTMENT PROMOTION,Sh. Puneet Kumar,SO,537/5545,,pppcell-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,FINANCE DIVISION,Sh. Manoranjan Samal,DS,536/5571,,dsfin-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,FINANCE DIVISION,Sh. Sujeet Kumar,US,431/5416,,usifw-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,FINANCE DIVISION,Sh. Atul Mahendra,SO,529/5529,,sofin-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,IWT DIVISION,Sh. Rakesh Singh Nayal,Dir (IWT-I & II),422/5419,,diriwt1-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,IWT DIVISION,Sh. Anadi Sharma,US (IWT-I & II),547/5559,,psw-usiwt2@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,IWT DIVISION,Sh. Shashank Pawar,SO (IWT- I & II),528/5528,,soiwt1-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,IWT DIVISION,Shri Satish Kumar,Consultant,540/5523,,satish.kr24@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,IWT DIVISION,Shri Rahul Tiwari,Specialist (IWT-I),528/5528,,rahul.tiwari24@nic.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,VIGILANCE DIVISON,Sh. Rakesh Singh Nayal,Dir,422/5419,,,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,VIGILANCE DIVISON,Sh. Dhrub Kumar,US,432/5471,,usvig-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,VIGILANCE DIVISON,Sh. Dharamdev Lal Anand,SO,432/5432,,sovig-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,IT DIVISION,Sh. Dinesh Kumar,Dir,251/5217,,dirports-it.psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,IT DIVISION,Sh. Naveen Mahla,US (IT),427/5547,,usdgll-psw@gov.in,https://shipmin.gov.in/who-s-who
"Ports, Shipping and Waterways (MoPSW)",https://shipmin.gov.in,IT DIVISION,Mrs. Ruchi Rawat,SO,138A/5507,,itship-psw@gov.in,https://shipmin.gov.in/who-s-who
